model,vector,stored_mean,stored_population_sd,max_abs_rebuild_error_from_rounded_csv
Mistral_7B_base,s1_pain_vector,-3.428571428571207e-05,1.000010292740227,0.0001096609090875944
Mistral_7B_base,s2_pain_vector,2.142857142857206e-05,0.9999934241773588,9.414747914426869e-05
Mistral_7B_base,fear_vector,-9.523809523786956e-07,0.999997145924045,5.6341746197619e-05
Mistral_7B_base,negemotion_vector,4.047619047620965e-06,0.9999853104196308,8.407710895363962e-05
Mistral_7B_base,negworld_vector,-1.3809523809522905e-05,0.9999756318696504,0.00011394882854531829
Mistral_7B_base,bodysens_vector,6.904761904765473e-06,1.0000238857742303,0.00011398073546375898
Mistral_7B_base,arousal_vector,1.0476190476192918e-05,0.9999995499212139,6.769721014476815e-05
Mistral_7B_base,random_vector,2.1904761904761428e-05,1.0000362504363771,0.00012975122527048022
Mistral_7B_base,numb_vector,1.428571428574446e-06,0.9999932618096113,5.967334660628154e-05
Mistral_7B_base,sadness_vector,-5.9523809523781734e-06,0.9999486154359074,0.00026131896270786825
Mistral_7B_instruct,s1_pain_vector,-4.285714285714265e-06,1.0000172403422016,8.715794107017061e-05
Mistral_7B_instruct,s2_pain_vector,-4.7619047618907105e-07,1.0000108569885684,7.242631338622019e-05
Mistral_7B_instruct,fear_vector,1.761904761905131e-05,0.9999914981895965,8.016129217325307e-05
Mistral_7B_instruct,negemotion_vector,-3.571428571428182e-06,0.9999978748842215,5.455220864281074e-05
Mistral_7B_instruct,negworld_vector,-1.5238095238093693e-05,0.9999984640017682,6.38981689051743e-05
Mistral_7B_instruct,bodysens_vector,2.1428571428570254e-06,1.000000492676154,5.157072011138797e-05
Mistral_7B_instruct,arousal_vector,-2.2619047619043208e-05,1.000004905220254,7.793926631460835e-05
Mistral_7B_instruct,random_vector,8.095238095238683e-06,0.999990485707687,8.808134392168654e-05
Mistral_7B_instruct,numb_vector,7.857142857141074e-06,0.9999953947799571,6.560205019434662e-05
Mistral_7B_instruct,sadness_vector,9.761904761902168e-06,0.9999827496726134,9.02799028157375e-05
Mistral_Small_24B_base,s1_pain_vector,6.666666666666619e-06,1.000010282448723,6.775937564795775e-05
Mistral_Small_24B_base,s2_pain_vector,-5.714285714284079e-06,0.9999805166986359,0.00011644191784254687
Mistral_Small_24B_base,fear_vector,-9.523809523815429e-06,1.0000299334114058,0.00011591668104049546
Mistral_Small_24B_base,negemotion_vector,-2.119047619047659e-05,1.0000044295156716,7.997160173722762e-05
Mistral_Small_24B_base,negworld_vector,-3.595238095238075e-05,1.0000019079828453,8.61723635918743e-05
Mistral_Small_24B_base,bodysens_vector,-6.6666666666661805e-06,0.9999616030263283,0.0001480140511556094
Mistral_Small_24B_base,arousal_vector,1.2380952380952878e-05,1.0000193534741728,0.00011204602610570547
Mistral_Small_24B_base,random_vector,6.666666666663396e-06,0.9999937189818617,6.658165623107948e-05
Mistral_Small_24B_base,numb_vector,8.571428571430204e-06,0.9999887323759761,7.784567846380597e-05
Mistral_Small_24B_base,sadness_vector,-2.8571428571440706e-06,0.9999804620193378,9.04508703367668e-05
Phi_4,s1_pain_vector,6.666666666666432e-06,0.9999869700119352,8.02444316185813e-05
Phi_4,s2_pain_vector,-8.57142857142869e-06,1.0000141537678626,7.517302403226012e-05
Phi_4,fear_vector,-2.2142857142856277e-05,1.0000044260664804,7.854044912924962e-05
Phi_4,negemotion_vector,1.3809523809523706e-05,0.9999959330392356,7.124433003991015e-05
Phi_4,negworld_vector,-4.761904761915668e-07,0.9999939607673648,5.916874746825229e-05
Phi_4,bodysens_vector,-1.571428571428641e-05,1.0000156508969125,9.264307084455581e-05
Phi_4,arousal_vector,-5.238095238093693e-06,1.0000091713489863,8.12328003831908e-05
Phi_4,random_vector,-1.6190476190475675e-05,0.9999977428425774,6.686518379528383e-05
Phi_4,numb_vector,1.476190476190313e-05,1.00001080323745,7.772027655938984e-05
